state,type,max_price,min_price,address,lat,lng,landArea,builtUp,sizeUnit,level1,level2,level3
selangor,sale,550000,550000,"Prima Saujana Kajang Perdana Kajang Saujana Impian, Selangor",,,1650.0,2200,SQUARE_FEET,Selangor,Kajang,
selangor,sale,1300000,1300000,"Symphony Hills, 63000, Selangor",,,1744.0,3208,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,590000,590000,"Serenia City, Selangor",,,,1830,SQUARE_FEET,Selangor,Sepang,
selangor,sale,0,681044,"Klang, Selangor",3.083019,101.428827,20’x75’,From 1718 - 2803,,Selangor,Klang,Bandar Bukit Raja : Lumira
selangor,sale,1450000,1450000,"Taman Taming Mutiara,  Bandar Sungai Long, 43000, Selangor",,,3320,4200,SQUARE_FEET,Selangor,Bandar Sungai Long,
selangor,sale,1700000,1700000,"Sg Buloh Selangor , 47000, Selangor",,,1694,2900,SQUARE_FEET,Selangor,Valencia,
selangor,sale,0,509000,"Setia EcoHill 2, Semenyih, Selangor",2.886163,101.845108,,From 1421 - 1562,,Selangor,Semenyih,Azolla
selangor,sale,780000,780000,"Kota Warisan, 43900, Selangor",,,3498,1848,SQUARE_FEET,Selangor,Sepang,
selangor,sale,3280000,3280000,"Elitis, Valencia, 47000, Selangor",,,6404,4200,SQUARE_FEET,Selangor,Valencia,
selangor,sale,1680000,1680000,"43, Jalan Damai Perdana 13/1E, Bandar Damai Perdana, 56000, Selangor",3.0450994,101.7363031,3150,4200,SQUARE_FEET,Selangor,Cheras,
selangor,sale,0,808000,"Setia Alamsari, Kajang, Selangor",2.921287,101.803429,32 x 65,From 1945 - 2011,,Selangor,Kajang,Caralyn
selangor,sale,550000,550000,"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor",3.122416,101.589154,,810,SQUARE_FEET,Selangor,Ara Damansara,Maisson
selangor,sale,550000,550000,"Jalan PJU 1A/20, Ara Damansara, 47301, Selangor",3.122769,101.576725,,810,SQUARE_FEET,Selangor,Ara Damansara,Verde
selangor,sale,4800000,4800000,"Elitis, Valencia, 47000, Selangor",3.2149909,101.5841817,8977,4200,SQUARE_FEET,Selangor,Valencia,
selangor,sale,930000,630000,"Gamuda Cove, Cyberjaya, Selangor",2.88493,101.616257,Varies,From 1746 - 2956,,Selangor,Cyberjaya,Enso Woods
selangor,sale,4000000,4000000,"Valencia, 47000, Selangor",,,8000,5000,SQUARE_FEET,Selangor,Valencia,
selangor,sale,2500000,2500000,"SS1, SS 1, 1 Storey Bungalow, PJ, 47300, Selangor",,,6999,4000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,869000,869000,"jalan putra prima pp2, TAMAN PUTRA PRIMA, PP2, 47130, Selangor",2.9765173,101.5874188,1430,2800,SQUARE_FEET,Selangor,Puchong,
selangor,sale,5700000,5700000,"Elitis, Valencia, 47000, Selangor",,,10324,8350,SQUARE_FEET,Selangor,Valencia,
selangor,sale,4700000,4700000,"Tropicana Indah Resort Homes, PJU, Selangor",,,7800,6000,SQUARE_FEET,Selangor,Tropicana,
selangor,sale,790000,790000,"U10 Shah Alam, Shah Alam U10 Setia Alam Subang, 40150, Selangor",3.136788,101.4959981,3200,3100,SQUARE_FEET,Selangor,Shah Alam,
selangor,sale,550000,550000,"Jalan Pju 1A/3, Ara Damansara, 47301, Selangor",3.121044,101.577959,,810,SQUARE_FEET,Selangor,Ara Damansara,Aragreens
selangor,sale,830000,830000,"Jalan 3/12, Taman Putra Prima, Taman Putra Prima, 47130, Selangor",2.9701621,101.5893806,347,2900,SQUARE_FEET,Selangor,Puchong,
selangor,sale,1350000,1350000,"Lebuh Seri Pekan Ku6 Taman klang utama, Taman Klang Utama, 42100, Selangor",3.089734,101.407342,4000,2500,SQUARE_FEET,Selangor,Klang,
selangor,sale,298000,298000,"Jalan Sutera, Cheras South, 43200, Selangor",3.029896,101.757783,,942,SQUARE_FEET,Selangor,Cheras,Silk Residence
selangor,sale,325000,325000,"Jalan PJU 3/29, Kota Damansara, 41050, Selangor",3.150929,101.59951,,1001,SQUARE_FEET,Selangor,Kota Damansara,Palm Spring @ Damansara
selangor,sale,1750000,1750000,"Bandar Sunway, 47500, Selangor",,,3300,3900,SQUARE_FEET,Selangor,Petaling Jaya,
